,32_8060_4101_3r_TWeight,32_8060_4101_3r_Pass_N,32_8060_4101_3r_CdPass_N
0,12,8,13
1,0,0,0
2,13,7,11
3,12,7,12
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,13,7,12
9,12,11,18
10,0,0,0
11,0,0,0
12,13,7,15
13,12,7,15
14,13,9,13
15,12,7,12
